iter	Passed	Remaining
0	155	155730
1	157	78516
2	158	52676
3	159	39682
4	160	31891
5	161	26698
6	162	23039
7	163	20255
8	164	18090
9	165	16369
10	166	14964
11	167	13783
12	168	12791
13	169	11930
14	170	11184
15	171	10530
16	172	9952
17	173	9438
18	173	8982
19	174	8573
20	176	8205
21	176	7867
22	177	7557
23	178	7275
24	179	7015
25	180	6775
26	181	6555
27	182	6344
28	183	6149
29	184	5966
30	185	5795
31	186	5634
32	187	5484
33	188	5349
34	189	5222
35	190	5097
36	191	4978
37	192	4867
38	193	4763
39	194	4661
40	195	4563
41	196	4471
42	196	4382
43	197	4296
44	198	4215
45	199	4138
46	200	4063
47	201	3993
48	202	3925
49	203	3861
50	204	3798
51	204	3737
52	205	3678
53	206	3624
54	207	3570
55	208	3519
56	209	3468
57	210	3419
58	211	3373
59	212	3328
60	213	3285
61	214	3243
62	215	3201
63	216	3160
64	216	3121
65	217	3082
66	218	3046
67	219	3005
68	220	2970
69	221	2938
70	222	2905
71	222	2872
72	223	2840
73	224	2810
74	225	2780
75	226	2751
76	227	2726
77	228	2699
78	229	2673
79	230	2650
80	231	2627
81	232	2602
82	233	2579
83	234	2554
84	235	2530
85	236	2508
86	236	2483
87	237	2461
88	238	2443
89	240	2430
90	241	2415
91	244	2410
92	245	2392
93	246	2373
94	247	2354
95	248	2335
96	248	2317
97	249	2300
98	250	2282
99	251	2265
100	252	2248
101	253	2228
102	253	2211
103	254	2196
104	256	2182
105	257	2167
106	257	2152
107	258	2137
108	259	2122
109	260	2107
110	261	2092
111	262	2078
112	263	2064
113	263	2051
114	264	2038
115	265	2023
116	266	2011
117	267	1998
118	268	1984
119	269	1975
120	270	1963
121	271	1951
122	271	1936
123	272	1924
124	273	1913
125	274	1902
126	275	1891
127	275	1878
128	276	1867
129	277	1856
130	278	1848
131	279	1839
132	280	1829
133	281	1820
134	282	1810
135	283	1801
136	284	1791
137	285	1781
138	286	1771
139	286	1762
140	287	1753
141	288	1744
142	289	1734
143	290	1726
144	291	1717
145	292	1708
146	293	1703
147	294	1695
148	295	1687
149	296	1679
150	297	1671
151	298	1664
152	299	1656
153	300	1648
154	300	1640
155	301	1632
156	302	1625
157	303	1617
158	304	1610
159	305	1602
160	306	1596
161	307	1590
162	308	1583
163	309	1576
164	310	1569
165	311	1562
166	311	1555
167	312	1548
168	313	1542
169	314	1535
170	315	1529
171	316	1522
172	317	1516
173	318	1510
174	318	1503
175	320	1498
176	320	1492
177	321	1486
178	322	1481
179	323	1475
180	324	1467
181	325	1461
182	325	1455
183	326	1449
184	327	1443
185	328	1437
186	329	1432
187	330	1426
188	331	1421
189	331	1415
190	332	1410
191	333	1405
192	334	1400
193	335	1395
194	336	1390
195	337	1385
196	338	1380
197	339	1375
198	340	1369
199	341	1364
200	341	1359
201	342	1354
202	343	1349
203	344	1344
204	345	1339
205	346	1334
206	347	1330
207	348	1325
208	349	1321
209	350	1316
210	350	1312
211	351	1308
212	352	1303
213	353	1299
214	354	1294
215	355	1290
216	356	1285
217	357	1281
218	358	1276
219	358	1272
220	359	1268
221	360	1263
222	362	1263
223	364	1261
224	365	1259
225	366	1256
226	367	1252
227	368	1249
228	370	1245
229	371	1242
230	372	1239
231	373	1236
232	374	1233
233	375	1230
234	376	1227
235	378	1224
236	379	1220
237	380	1217
238	381	1213
239	381	1209
240	382	1205
241	383	1201
242	384	1197
243	385	1194
244	386	1190
245	387	1186
246	388	1183
247	389	1180
248	390	1176
249	390	1172
250	391	1169
251	392	1165
252	393	1162
253	394	1158
254	395	1155
255	396	1151
256	397	1148
257	398	1144
258	398	1141
259	399	1137
260	400	1134
261	401	1131
262	402	1127
263	403	1124
264	404	1121
265	405	1118
266	406	1114
267	406	1111
268	407	1108
269	408	1105
270	409	1102
271	410	1098
272	411	1095
273	412	1092
274	413	1089
275	414	1086
276	415	1083
277	415	1080
278	416	1077
279	417	1074
280	418	1071
281	419	1068
282	420	1065
283	421	1062
284	422	1059
285	423	1056
286	424	1053
287	424	1050
288	425	1047
289	426	1044
290	427	1041
291	428	1039
292	429	1036
293	430	1034
294	431	1031
295	432	1028
296	433	1026
297	434	1023
298	435	1021
299	436	1018
300	437	1015
301	438	1012
302	439	1009
303	439	1007
304	440	1004
305	441	1001
306	442	999
307	443	997
308	444	994
309	445	991
310	446	989
311	447	986
312	448	983
313	449	981
314	450	978
315	451	976
316	452	974
317	452	971
318	453	968
319	454	966
320	455	964
321	456	962
322	457	959
323	458	957
324	459	954
325	460	952
326	461	949
327	462	947
328	463	944
329	464	942
330	464	939
331	465	937
332	466	934
333	467	932
334	468	930
335	469	927
336	470	926
337	471	924
338	472	922
339	474	920
340	475	918
341	476	916
342	477	914
343	478	912
344	479	911
345	480	909
346	481	906
347	482	904
348	483	902
349	484	900
350	485	898
351	487	896
352	488	894
353	489	892
354	489	890
355	490	887
356	491	885
357	492	883
358	493	881
359	494	879
360	495	877
361	496	875
362	497	873
363	498	871
364	499	869
365	500	867
366	502	866
367	503	864
368	549	939
369	551	939
370	553	938
371	555	937
372	556	936
373	562	940
374	563	939
375	565	938
376	566	936
377	568	936
378	570	934
379	573	935
380	574	932
381	575	930
382	576	928
383	577	927
384	579	925
385	586	933
386	589	933
387	591	933
388	593	931
389	594	929
390	594	926
391	595	924
392	596	921
393	597	919
394	598	916
395	599	914
396	600	912
397	601	910
398	602	908
399	603	905
400	604	903
401	605	900
402	606	898
403	607	895
404	608	893
405	609	891
406	609	888
407	610	886
408	611	884
409	612	881
410	613	879
411	614	877
412	615	875
413	616	873
414	617	870
415	618	868
416	619	866
417	620	863
418	621	861
419	622	859
420	622	856
421	623	854
422	624	852
423	625	850
424	626	847
425	627	845
426	628	843
427	629	841
428	630	838
429	631	836
430	632	834
431	632	832
432	633	830
433	634	827
434	635	825
435	636	823
436	637	821
437	638	819
438	639	816
439	640	814
440	640	812
441	641	810
442	642	808
443	643	806
444	644	804
445	645	801
446	646	799
447	647	797
448	648	795
449	649	793
450	650	791
451	650	789
452	651	787
453	652	784
454	653	782
455	654	780
456	655	778
457	656	777
458	657	775
459	658	773
460	659	771
461	660	769
462	661	767
463	662	765
464	663	763
465	664	761
466	665	759
467	666	757
468	667	755
469	668	753
470	668	751
471	669	749
472	670	747
473	671	745
474	672	743
475	673	741
476	674	739
477	675	737
478	676	735
479	677	733
480	678	731
481	679	729
482	680	727
483	680	725
484	681	723
485	682	721
486	683	720
487	684	718
488	685	716
489	686	714
490	687	712
491	688	710
492	689	708
493	689	706
494	690	704
495	691	702
496	692	700
497	693	698
498	694	697
499	695	695
500	696	693
501	696	691
502	698	689
503	698	687
504	699	685
505	700	684
506	701	682
507	702	680
508	703	678
509	704	676
510	705	674
511	706	673
512	707	671
513	707	669
514	708	667
515	709	665
516	710	663
517	711	662
518	712	660
519	713	658
520	714	656
521	715	654
522	716	653
523	717	651
524	717	649
525	718	647
526	719	645
527	720	644
528	721	642
529	722	640
530	723	638
531	724	636
532	725	635
533	726	634
534	727	632
535	728	630
536	729	629
537	731	628
538	732	626
539	733	624
540	734	622
